51,35,14,2,10
49,30,14,2,10
47,32,13,2,10
46,31,15,2,10
50,36,14,2,10
54,39,17,4,10
46,34,14,3,10
50,34,15,2,10
44,29,14,2,10
49,31,15,1,10
54,37,15,2,10
48,34,16,2,10
48,30,14,1,10
43,30,11,1,10
58,40,12,2,10
57,44,15,4,10
54,39,13,4,10
51,35,14,3,10
57,38,17,3,10
51,38,15,3,10
54,34,17,2,10
51,37,15,4,10
46,36,10,2,10
51,33,17,5,10
48,34,19,2,10
50,30,16,2,10
50,34,16,4,10
52,35,15,2,10
52,34,14,2,10
47,32,16,2,10
48,31,16,2,10
54,34,15,4,10
52,41,15,1,10
55,42,14,2,10
49,31,15,1,10
50,32,12,2,10
55,35,13,2,10
49,31,15,1,10
44,30,13,2,10
51,34,15,2,10
50,35,13,3,10
45,23,13,3,10
44,32,13,2,10
50,35,16,6,10
51,38,19,4,10
48,30,14,3,10
51,38,16,2,10
46,32,14,2,10
53,37,15,2,10
50,33,14,2,10
70,32,47,14,20
64,32,45,15,20
69,31,49,15,20
55,23,40,13,20
65,28,46,15,20
57,28,45,13,20
63,33,47,16,20
49,24,33,10,20
66,29,46,13,20
52,27,39,14,20
50,20,35,10,20
59,30,42,15,20
60,22,40,10,20
61,29,47,14,20
56,29,36,13,20
67,31,44,14,20
56,30,45,15,20
58,27,41,10,20
62,22,45,15,20
56,25,39,11,20
59,32,48,18,20
61,28,40,13,20
63,25,49,15,20
61,28,47,12,20
64,29,43,13,20
66,30,44,14,20
68,28,48,14,20
67,30,50,17,20
60,29,45,15,20
57,26,35,10,20
55,24,38,11,20
55,24,37,10,20
58,27,39,12,20
60,27,51,16,20
54,30,45,15,20
60,34,45,16,20
67,31,47,15,20
63,23,44,13,20
56,30,41,13,20
55,25,40,13,20
55,26,44,12,20
61,30,46,14,20
58,26,40,12,20
50,23,33,10,20
56,27,42,13,20
57,30,42,12,20
57,29,42,13,20
62,29,43,13,20
51,25,30,11,20
57,28,41,13,20
63,33,60,25,30
58,27,51,19,30
71,30,59,21,30
63,29,56,18,30
65,30,58,22,30
76,30,66,21,30
49,25,45,17,30
73,29,63,18,30
67,25,58,18,30
72,36,61,25,30
65,32,51,20,30
64,27,53,19,30
68,30,55,21,30
57,25,50,20,30
58,28,51,24,30
64,32,53,23,30
65,30,55,18,30
77,38,67,22,30
77,26,69,23,30
60,22,50,15,30
69,32,57,23,30
56,28,49,20,30
77,28,67,20,30
63,27,49,18,30
67,33,57,21,30
72,32,60,18,30
62,28,48,18,30
61,30,49,18,30
64,28,56,21,30
72,30,58,16,30
74,28,61,19,30
79,38,64,20,30
64,28,56,22,30
63,28,51,15,30
61,26,56,14,30
77,30,61,23,30
63,34,56,24,30
64,31,55,18,30
60,30,48,18,30
69,31,54,21,30
67,31,56,24,30
69,31,51,23,30
58,27,51,19,30
68,32,59,23,30
67,33,57,25,30
67,30,52,23,30
63,25,50,19,30
65,30,52,20,30
62,34,54,23,30
59,30,51,18,30
